coordinates 	43.11	209.60	171.11	209.60
time(s)	frame	Idon noise(photons)	Iacc noise(photons)	Idon ideal(photons)	Iacc ideal(photons)	FRET	FRET ideal	state sequence
1.000000e-01	1	2.631579e+01	1.052632e+01	2.912522e+01	9.139664e+00	2.857143e-01	2.388525e-01	2
2.000000e-01	2	3.789474e+01	1.157895e+01	2.912522e+01	9.139664e+00	2.340426e-01	2.388525e-01	2
3.000000e-01	3	3.578947e+01	2.105263e+01	2.912522e+01	9.139664e+00	3.703704e-01	2.388525e-01	2
4.000000e-01	4	3.684211e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.857143e-01	2.388525e-01	2
5.000000e-01	5	4.842105e+01	1.894737e+01	2.912522e+01	9.139664e+00	2.812500e-01	2.388525e-01	2
6.000000e-01	6	3.578947e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.916667e-01	2.388525e-01	2
7.000000e-01	7	3.684211e+01	6.315789e+00	2.912522e+01	9.139664e+00	1.463415e-01	2.388525e-01	2
8.000000e-01	8	5.789474e+01	1.368421e+01	2.912522e+01	9.139664e+00	1.911765e-01	2.388525e-01	2
9.000000e-01	9	3.368421e+01	1.473684e+01	2.912522e+01	9.139664e+00	3.043478e-01	2.388525e-01	2
1	10	4.421053e+01	1.052632e+01	2.912522e+01	9.139664e+00	1.923077e-01	2.388525e-01	2
1.100000e+00	11	5.473684e+01	1.789474e+01	2.912522e+01	9.139664e+00	2.463768e-01	2.388525e-01	2
1.200000e+00	12	3.684211e+01	8.421053e+00	2.912522e+01	9.139664e+00	1.860465e-01	2.388525e-01	2
1.300000e+00	13	5.157895e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.222222e-01	2.388525e-01	2
1.400000e+00	14	4.105263e+01	1.263158e+01	2.912522e+01	9.139664e+00	2.352941e-01	2.388525e-01	2
1.500000e+00	15	3.263158e+01	1.052632e+01	2.912522e+01	9.139664e+00	2.439024e-01	2.388525e-01	2
1.600000e+00	16	40	1.894737e+01	2.912522e+01	9.139664e+00	3.214286e-01	2.388525e-01	2
1.700000e+00	17	2.105263e+01	1.578947e+01	2.912522e+01	9.139664e+00	4.285714e-01	2.388525e-01	2
1.800000e+00	18	3.368421e+01	6.315789e+00	2.912522e+01	9.139664e+00	1.578947e-01	2.388525e-01	2
1.900000e+00	19	5.157895e+01	8.421053e+00	2.912522e+01	9.139664e+00	1.403509e-01	2.388525e-01	2
2	20	2.736842e+01	1.789474e+01	2.912522e+01	9.139664e+00	3.953488e-01	2.388525e-01	2
2.100000e+00	21	4.315789e+01	9.473684e+00	2.912522e+01	9.139664e+00	1.800000e-01	2.388525e-01	2
2.200000e+00	22	40	1.263158e+01	2.912522e+01	9.139664e+00	2.400000e-01	2.388525e-01	2
2.300000e+00	23	3.368421e+01	7.368421e+00	2.912522e+01	9.139664e+00	1.794872e-01	2.388525e-01	2
2.400000e+00	24	3.789474e+01	4.210526e+00	2.912522e+01	9.139664e+00	1.000000e-01	2.388525e-01	2
2.500000e+00	25	2.947368e+01	1.578947e+01	2.912522e+01	9.139664e+00	3.488372e-01	2.388525e-01	2
2.600000e+00	26	3.263158e+01	1.894737e+01	2.912522e+01	9.139664e+00	3.673469e-01	2.388525e-01	2
2.700000e+00	27	3.157895e+01	5.263158e+00	2.912522e+01	9.139664e+00	1.428571e-01	2.388525e-01	2
2.800000e+00	28	6.315789e+01	1.263158e+01	2.912522e+01	9.139664e+00	1.666667e-01	2.388525e-01	2
2.900000e+00	29	5.157895e+01	1.157895e+01	2.912522e+01	9.139664e+00	1.833333e-01	2.388525e-01	2
3	30	4.315789e+01	1.263158e+01	2.912522e+01	9.139664e+00	2.264151e-01	2.388525e-01	2
3.100000e+00	31	1.578947e+01	6.315789e+00	2.912522e+01	9.139664e+00	2.857143e-01	2.388525e-01	2
3.200000e+00	32	5.157895e+01	7.368421e+00	2.912522e+01	9.139664e+00	1.250000e-01	2.388525e-01	2
3.300000e+00	33	3.473684e+01	2.105263e+01	2.912522e+01	9.139664e+00	3.773585e-01	2.388525e-01	2
3.400000e+00	34	4.421053e+01	1.684211e+01	2.912522e+01	9.139664e+00	2.758621e-01	2.388525e-01	2
3.500000e+00	35	2.631579e+01	8.421053e+00	2.912522e+01	9.139664e+00	2.424242e-01	2.388525e-01	2
3.600000e+00	36	4.947368e+01	1.052632e+01	2.912522e+01	9.139664e+00	1.754386e-01	2.388525e-01	2
3.700000e+00	37	5.894737e+01	1.052632e+01	2.912522e+01	9.139664e+00	1.515152e-01	2.388525e-01	2
3.800000e+00	38	3.894737e+01	1.368421e+01	2.912522e+01	9.139664e+00	2.600000e-01	2.388525e-01	2
3.900000e+00	39	3.368421e+01	1.894737e+01	2.912522e+01	9.139664e+00	3.600000e-01	2.388525e-01	2
4	40	4.526316e+01	1.263158e+01	2.912522e+01	9.139664e+00	2.181818e-01	2.388525e-01	2
4.100000e+00	41	3.894737e+01	1.684211e+01	2.912522e+01	9.139664e+00	3.018868e-01	2.388525e-01	2
4.200000e+00	42	4.421053e+01	1.368421e+01	2.912522e+01	9.139664e+00	2.363636e-01	2.388525e-01	2
4.300000e+00	43	3.789474e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.800000e-01	2.388525e-01	2
4.400000e+00	44	5.263158e+01	1.789474e+01	2.912522e+01	9.139664e+00	2.537313e-01	2.388525e-01	2
4.500000e+00	45	5.052632e+01	1.578947e+01	2.912522e+01	9.139664e+00	2.380952e-01	2.388525e-01	2
4.600000e+00	46	40	3.157895e+00	2.912522e+01	9.139664e+00	7.317073e-02	2.388525e-01	2
4.700000e+00	47	3.473684e+01	1.684211e+01	2.912522e+01	9.139664e+00	3.265306e-01	2.388525e-01	2
4.800000e+00	48	3.368421e+01	2.947368e+01	2.912522e+01	9.139664e+00	4.666667e-01	2.388525e-01	2
4.900000e+00	49	3.894737e+01	7.368421e+00	2.912522e+01	9.139664e+00	1.590909e-01	2.388525e-01	2
5	50	5.684211e+01	1.157895e+01	2.912522e+01	9.139664e+00	1.692308e-01	2.388525e-01	2
5.100000e+00	51	3.157895e+01	9.473684e+00	2.912522e+01	9.139664e+00	2.307692e-01	2.388525e-01	2
5.200000e+00	52	3.684211e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.857143e-01	2.388525e-01	2
5.300000e+00	53	4.842105e+01	1.157895e+01	2.912522e+01	9.139664e+00	1.929825e-01	2.388525e-01	2
5.400000e+00	54	5.052632e+01	9.473684e+00	2.912522e+01	9.139664e+00	1.578947e-01	2.388525e-01	2
5.500000e+00	55	4.526316e+01	1.052632e+01	2.912522e+01	9.139664e+00	1.886792e-01	2.388525e-01	2
5.600000e+00	56	3.684211e+01	1.789474e+01	2.912522e+01	9.139664e+00	3.269231e-01	2.388525e-01	2
5.700000e+00	57	4.421053e+01	1.578947e+01	2.912522e+01	9.139664e+00	2.631579e-01	2.388525e-01	2
5.800000e+00	58	2.736842e+01	1.578947e+01	2.912522e+01	9.139664e+00	3.658537e-01	2.388525e-01	2
5.900000e+00	59	4.947368e+01	1.157895e+01	2.912522e+01	9.139664e+00	1.896552e-01	2.388525e-01	2
6	60	2.842105e+01	1.263158e+01	2.912522e+01	9.139664e+00	3.076923e-01	2.388525e-01	2
6.100000e+00	61	3.789474e+01	1.157895e+01	2.912522e+01	9.139664e+00	2.340426e-01	2.388525e-01	2
6.200000e+00	62	5.368421e+01	6.315789e+00	2.912522e+01	9.139664e+00	1.052632e-01	2.388525e-01	2
6.300000e+00	63	2.631579e+01	1.789474e+01	2.912522e+01	9.139664e+00	4.047619e-01	2.388525e-01	2
6.400000e+00	64	4.842105e+01	1.789474e+01	2.912522e+01	9.139664e+00	2.698413e-01	2.388525e-01	2
6.500000e+00	65	4.421053e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.500000e-01	2.388525e-01	2
6.600000e+00	66	5.473684e+01	2.736842e+01	2.912522e+01	9.139664e+00	3.333333e-01	2.388525e-01	2
6.700000e+00	67	4.421053e+01	1.263158e+01	2.912522e+01	9.139664e+00	2.222222e-01	2.388525e-01	2
6.800000e+00	68	4.736842e+01	1.157895e+01	2.912522e+01	9.139664e+00	1.964286e-01	2.388525e-01	2
6.900000e+00	69	3.578947e+01	2.315789e+01	2.912522e+01	9.139664e+00	3.928571e-01	2.388525e-01	2
7	70	4.736842e+01	2.105263e+01	2.912522e+01	9.139664e+00	3.076923e-01	2.388525e-01	2
7.100000e+00	71	4.315789e+01	1.157895e+01	2.912522e+01	9.139664e+00	2.115385e-01	2.388525e-01	2
7.200000e+00	72	4.210526e+01	1.263158e+01	2.912522e+01	9.139664e+00	2.307692e-01	2.388525e-01	2
7.300000e+00	73	4.736842e+01	1.578947e+01	2.912522e+01	9.139664e+00	2.500000e-01	2.388525e-01	2
7.400000e+00	74	6.421053e+01	1.789474e+01	2.912522e+01	9.139664e+00	2.179487e-01	2.388525e-01	2
7.500000e+00	75	5.263158e+01	9.473684e+00	2.912522e+01	9.139664e+00	1.525424e-01	2.388525e-01	2
7.600000e+00	76	4.105263e+01	1.789474e+01	2.912522e+01	9.139664e+00	3.035714e-01	2.388525e-01	2
7.700000e+00	77	40	1.578947e+01	2.912522e+01	9.139664e+00	2.830189e-01	2.388525e-01	2
7.800000e+00	78	3.157895e+01	1.052632e+01	2.912522e+01	9.139664e+00	2.500000e-01	2.388525e-01	2
7.900000e+00	79	4.526316e+01	1.578947e+01	2.912522e+01	9.139664e+00	2.586207e-01	2.388525e-01	2
8	80	3.684211e+01	1.684211e+01	2.912522e+01	9.139664e+00	3.137255e-01	2.388525e-01	2
8.100000e+00	81	4.842105e+01	8.421053e+00	2.912522e+01	9.139664e+00	1.481481e-01	2.388525e-01	2
8.200000e+00	82	4.631579e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.413793e-01	2.388525e-01	2
8.300000e+00	83	1.894737e+01	1.157895e+01	2.912522e+01	9.139664e+00	3.793103e-01	2.388525e-01	2
8.400000e+00	84	4.421053e+01	6.315789e+00	2.912522e+01	9.139664e+00	1.250000e-01	2.388525e-01	2
8.500000e+00	85	4.736842e+01	2.210526e+01	2.912522e+01	9.139664e+00	3.181818e-01	2.388525e-01	2
8.600000e+00	86	4.947368e+01	1.684211e+01	2.912522e+01	9.139664e+00	2.539683e-01	2.388525e-01	2
8.700000e+00	87	4.526316e+01	7.368421e+00	2.912522e+01	9.139664e+00	1.400000e-01	2.388525e-01	2
8.800000e+00	88	3.684211e+01	1.368421e+01	2.912522e+01	9.139664e+00	2.708333e-01	2.388525e-01	2
8.900000e+00	89	3.473684e+01	1.473684e+01	2.912522e+01	9.139664e+00	2.978723e-01	2.388525e-01	2
9	90	2.947368e+01	2.210526e+01	2.912522e+01	9.139664e+00	4.285714e-01	2.388525e-01	2
9.100000e+00	91	2.736842e+01	1.157895e+01	2.912522e+01	9.139664e+00	2.972973e-01	2.388525e-01	2
9.200000e+00	92	40	1.684211e+01	2.912522e+01	9.139664e+00	2.962963e-01	2.388525e-01	2
9.300000e+00	93	4.421053e+01	1.368421e+01	2.912522e+01	9.139664e+00	2.363636e-01	2.388525e-01	2
9.400000e+00	94	2.421053e+01	1.368421e+01	2.912522e+01	9.139664e+00	3.611111e-01	2.388525e-01	2
9.500000e+00	95	3.894737e+01	1.052632e+01	2.912522e+01	9.139664e+00	2.127660e-01	2.388525e-01	2
9.600000e+00	96	40	1.157895e+01	2.912522e+01	9.139664e+00	2.244898e-01	2.388525e-01	2
9.700000e+00	97	4.210526e+01	7.368421e+00	2.912522e+01	9.139664e+00	1.489362e-01	2.388525e-01	2
9.800000e+00	98	3.263158e+01	1.368421e+01	2.912522e+01	9.139664e+00	2.954545e-01	2.388525e-01	2
9.900000e+00	99	3.052632e+01	8.421053e+00	2.912522e+01	9.139664e+00	2.162162e-01	2.388525e-01	2
10	100	3.894737e+01	1.894737e+01	2.912522e+01	9.139664e+00	3.272727e-01	2.388525e-01	2
