coordinates:	43.9,143.0	128.9,143.0	213.9,143.0
timeat184nm	I_1at184nm	I_2at184nm	I_3at184nm
1.000000e-01	121	116	144
2.000000e-01	113	120	133
3.000000e-01	113	113	138
4.000000e-01	125	113	133
5.000000e-01	113	122	125
6.000000e-01	113	113	140
7.000000e-01	118	115	133
8.000000e-01	113	115	136
9.000000e-01	113	113	150
1	123	115	140
1.100000e+00	113	120	133
1.200000e+00	113	113	141
1.300000e+00	123	116	143
1.400000e+00	113	120	142
1.500000e+00	113	113	140
1.600000e+00	125	113	136
1.700000e+00	113	123	143
1.800000e+00	113	113	138
1.900000e+00	119	117	145
2	113	117	135
2.100000e+00	113	113	149
2.200000e+00	120	121	138
2.300000e+00	113	122	134
2.400000e+00	113	113	146
2.500000e+00	118	116	139
2.600000e+00	113	122	130
2.700000e+00	113	113	140
2.800000e+00	120	117	132
2.900000e+00	113	117	145
3	113	113	147
3.100000e+00	119	115	129
3.200000e+00	113	120	140
3.300000e+00	113	113	137
3.400000e+00	123	114	146
3.500000e+00	113	122	134
3.600000e+00	113	113	141
3.700000e+00	124	120	134
3.800000e+00	113	118	134
3.900000e+00	113	113	139
4	123	114	136
4.100000e+00	113	124	142
4.200000e+00	113	113	137
4.300000e+00	125	114	139
4.400000e+00	113	121	131
4.500000e+00	113	113	136
4.600000e+00	119	119	136
4.700000e+00	113	120	136
4.800000e+00	113	113	155
4.900000e+00	119	115	138
5	113	121	138
5.100000e+00	113	113	147
5.200000e+00	124	114	136
5.300000e+00	113	123	125
5.400000e+00	113	113	142
5.500000e+00	116	114	135
5.600000e+00	113	118	133
5.700000e+00	113	113	145
5.800000e+00	122	114	146
5.900000e+00	113	120	130
6	113	113	141
6.100000e+00	123	114	136
6.200000e+00	113	122	139
6.300000e+00	113	113	133
6.400000e+00	122	115	138
6.500000e+00	113	120	142
6.600000e+00	113	113	142
6.700000e+00	120	115	145
6.800000e+00	113	119	134
6.900000e+00	113	113	145
7	116	118	148
7.100000e+00	113	119	138
7.200000e+00	113	113	145
7.300000e+00	115	116	145
7.400000e+00	113	121	132
7.500000e+00	113	113	128
7.600000e+00	115	114	142
7.700000e+00	113	118	141
7.800000e+00	113	113	144
7.900000e+00	119	117	136
8	113	123	140
8.100000e+00	113	113	143
8.200000e+00	122	118	138
8.300000e+00	113	124	130
8.400000e+00	113	113	141
8.500000e+00	123	116	134
8.600000e+00	113	126	131
8.700000e+00	113	113	135
8.800000e+00	120	116	137
8.900000e+00	113	117	131
9	113	113	149
9.100000e+00	120	116	141
9.200000e+00	113	120	138
9.300000e+00	113	113	146
9.400000e+00	120	114	140
9.500000e+00	113	119	137
9.600000e+00	113	113	149
9.700000e+00	125	118	138
9.800000e+00	113	118	132
9.900000e+00	113	113	152
10	119	115	142
1.010000e+01	113	122	133
1.020000e+01	113	113	139
1.030000e+01	123	116	146
1.040000e+01	113	115	136
1.050000e+01	113	113	141
1.060000e+01	130	115	129
1.070000e+01	113	114	144
1.080000e+01	113	113	135
1.090000e+01	119	114	138
11	113	120	135
1.110000e+01	113	113	147
1.120000e+01	118	117	136
1.130000e+01	113	122	137
1.140000e+01	113	113	131
1.150000e+01	123	113	136
1.160000e+01	113	119	137
1.170000e+01	113	113	139
1.180000e+01	121	116	134
1.190000e+01	113	119	131
12	113	113	148
1.210000e+01	120	116	143
1.220000e+01	113	122	143
1.230000e+01	113	113	142
1.240000e+01	127	118	139
1.250000e+01	113	126	138
1.260000e+01	113	113	135
1.270000e+01	120	115	143
1.280000e+01	113	128	134
1.290000e+01	113	113	145
13	123	115	137
1.310000e+01	113	120	133
1.320000e+01	113	113	151
1.330000e+01	121	120	134
1.340000e+01	113	118	130
1.350000e+01	113	113	137
1.360000e+01	120	116	150
1.370000e+01	113	124	141
1.380000e+01	113	113	142
1.390000e+01	119	117	134
14	113	116	141
1.410000e+01	113	113	138
1.420000e+01	124	114	137
1.430000e+01	113	120	130
1.440000e+01	113	113	135
1.450000e+01	121	115	137
1.460000e+01	113	117	132
1.470000e+01	113	113	137
1.480000e+01	121	114	138
1.490000e+01	113	125	139
15	113	113	144
1.510000e+01	121	118	130
1.520000e+01	113	118	135
1.530000e+01	113	113	137
1.540000e+01	118	116	140
1.550000e+01	113	125	136
1.560000e+01	113	113	137
1.570000e+01	121	113	140
1.580000e+01	113	123	134
1.590000e+01	113	113	147
16	120	119	141
1.610000e+01	113	124	142
1.620000e+01	113	113	147
1.630000e+01	121	114	135
1.640000e+01	113	120	139
1.650000e+01	113	113	142
1.660000e+01	120	114	138
1.670000e+01	113	120	135
1.680000e+01	113	113	134
1.690000e+01	123	114	141
17	113	117	136
1.710000e+01	113	113	149
1.720000e+01	121	116	127
1.730000e+01	113	115	128
1.740000e+01	113	113	139
1.750000e+01	123	115	143
1.760000e+01	113	120	140
1.770000e+01	113	113	151
1.780000e+01	123	117	131
1.790000e+01	113	120	130
18	113	113	141
1.810000e+01	113	116	132
1.820000e+01	113	122	132
1.830000e+01	113	113	136
1.840000e+01	118	117	133
1.850000e+01	113	122	139
1.860000e+01	113	113	137
1.870000e+01	122	116	140
1.880000e+01	113	121	132
1.890000e+01	113	113	136
19	120	115	140
1.910000e+01	113	119	145
1.920000e+01	113	113	141
1.930000e+01	120	118	147
1.940000e+01	113	119	131
1.950000e+01	113	113	144
1.960000e+01	121	119	135
1.970000e+01	113	120	138
1.980000e+01	113	113	147
1.990000e+01	125	117	134
20	113	124	140
2.010000e+01	113	113	145
2.020000e+01	118	114	134
2.030000e+01	113	123	127
2.040000e+01	113	113	154
2.050000e+01	124	116	137
2.060000e+01	113	119	133
2.070000e+01	113	113	152
2.080000e+01	124	116	133
2.090000e+01	113	120	138
21	113	113	143
2.110000e+01	118	114	145
2.120000e+01	113	123	137
2.130000e+01	113	113	134
2.140000e+01	128	117	141
2.150000e+01	113	123	140
2.160000e+01	113	113	148
2.170000e+01	118	115	141
2.180000e+01	113	118	134
2.190000e+01	113	113	139
22	122	114	139
2.210000e+01	113	125	137
2.220000e+01	113	113	149
2.230000e+01	114	116	133
2.240000e+01	113	124	136
2.250000e+01	113	113	140
2.260000e+01	123	115	143
2.270000e+01	113	126	133
2.280000e+01	113	113	137
2.290000e+01	119	115	131
23	113	117	154
2.310000e+01	113	113	140
2.320000e+01	126	116	140
2.330000e+01	113	118	136
2.340000e+01	113	113	128
2.350000e+01	119	114	133
2.360000e+01	113	124	144
2.370000e+01	113	113	146
2.380000e+01	122	116	146
2.390000e+01	113	123	139
24	113	113	146
2.410000e+01	124	114	140
2.420000e+01	113	120	138
2.430000e+01	113	113	140
2.440000e+01	124	116	137
2.450000e+01	113	117	132
2.460000e+01	113	113	135
2.470000e+01	119	116	140
2.480000e+01	113	118	134
2.490000e+01	113	113	141
25	121	115	131
2.510000e+01	113	121	134
2.520000e+01	113	113	151
2.530000e+01	118	117	146
2.540000e+01	113	120	130
2.550000e+01	113	113	147
2.560000e+01	127	115	139
2.570000e+01	113	118	135
2.580000e+01	113	113	153
2.590000e+01	117	117	134
26	113	119	142
2.610000e+01	113	113	148
2.620000e+01	123	117	142
2.630000e+01	113	120	136
2.640000e+01	113	113	142
2.650000e+01	118	115	141
2.660000e+01	113	119	138
2.670000e+01	113	113	144
2.680000e+01	122	115	131
2.690000e+01	113	118	145
27	113	113	139
2.710000e+01	120	114	140
2.720000e+01	113	119	138
2.730000e+01	113	113	153
2.740000e+01	124	120	139
2.750000e+01	113	118	136
2.760000e+01	113	113	150
2.770000e+01	123	116	140
2.780000e+01	113	121	139
2.790000e+01	113	113	138
28	119	115	139
2.810000e+01	113	123	136
2.820000e+01	113	113	148
2.830000e+01	119	115	135
2.840000e+01	113	116	141
2.850000e+01	113	113	147
2.860000e+01	126	115	147
2.870000e+01	113	120	132
2.880000e+01	113	113	139
2.890000e+01	123	118	135
29	113	122	136
2.910000e+01	113	113	143
2.920000e+01	120	116	133
2.930000e+01	113	122	143
2.940000e+01	113	113	138
2.950000e+01	124	114	136
2.960000e+01	113	120	131
2.970000e+01	113	113	140
2.980000e+01	120	114	132
2.990000e+01	113	118	131
30	113	113	133
3.010000e+01	124	114	145
3.020000e+01	113	126	135
3.030000e+01	113	113	153
3.040000e+01	121	114	135
3.050000e+01	113	122	137
3.060000e+01	113	113	151
3.070000e+01	126	117	142
3.080000e+01	113	123	130
3.090000e+01	113	113	154
31	127	116	135
3.110000e+01	113	118	134
3.120000e+01	113	113	151
3.130000e+01	124	117	133
3.140000e+01	113	119	135
3.150000e+01	113	113	142
3.160000e+01	124	113	142
3.170000e+01	113	120	133
3.180000e+01	113	113	140
3.190000e+01	120	113	141
32	113	123	133
3.210000e+01	113	113	147
3.220000e+01	130	115	135
3.230000e+01	113	117	136
3.240000e+01	113	113	140
3.250000e+01	125	117	126
3.260000e+01	113	121	139
3.270000e+01	113	113	142
3.280000e+01	129	114	130
3.290000e+01	113	124	142
33	113	113	145
3.310000e+01	116	116	144
3.320000e+01	113	120	129
3.330000e+01	113	113	147
3.340000e+01	122	114	137
3.350000e+01	113	118	134
3.360000e+01	113	113	143
3.370000e+01	121	113	138
3.380000e+01	113	121	137
3.390000e+01	113	113	146
34	119	117	151
3.410000e+01	113	121	131
3.420000e+01	113	113	151
3.430000e+01	119	115	145
3.440000e+01	113	124	137
3.450000e+01	113	113	137
3.460000e+01	118	114	137
3.470000e+01	113	121	135
3.480000e+01	113	113	150
3.490000e+01	121	116	146
35	113	119	136
3.510000e+01	113	113	148
3.520000e+01	119	115	131
3.530000e+01	113	121	139
3.540000e+01	113	113	140
3.550000e+01	120	117	137
3.560000e+01	113	122	142
3.570000e+01	113	113	138
3.580000e+01	121	113	143
3.590000e+01	113	120	140
36	113	113	146
3.610000e+01	121	116	143
3.620000e+01	113	118	132
3.630000e+01	113	113	157
3.640000e+01	117	118	132
3.650000e+01	113	118	133
3.660000e+01	113	113	144
3.670000e+01	119	117	131
3.680000e+01	113	121	134
3.690000e+01	113	113	141
37	124	116	139
3.710000e+01	113	119	138
3.720000e+01	113	113	134
3.730000e+01	122	113	148
3.740000e+01	113	118	128
3.750000e+01	113	113	146
3.760000e+01	127	117	138
3.770000e+01	113	127	132
3.780000e+01	113	113	143
3.790000e+01	122	119	141
38	113	119	128
3.810000e+01	113	113	150
3.820000e+01	121	114	133
3.830000e+01	113	119	133
3.840000e+01	113	113	139
3.850000e+01	120	117	142
3.860000e+01	113	121	129
3.870000e+01	113	113	135
3.880000e+01	118	116	137
3.890000e+01	113	125	138
39	113	113	151
3.910000e+01	123	121	139
3.920000e+01	113	119	137
3.930000e+01	113	113	149
3.940000e+01	119	117	138
3.950000e+01	113	122	131
3.960000e+01	113	113	143
3.970000e+01	118	116	137
3.980000e+01	113	121	139
3.990000e+01	113	113	143
40	120	114	135
4.010000e+01	113	124	130
4.020000e+01	113	113	135
4.030000e+01	120	114	145
4.040000e+01	113	118	129
4.050000e+01	113	113	143
4.060000e+01	125	117	144
4.070000e+01	113	122	135
4.080000e+01	113	113	135
4.090000e+01	120	116	130
41	113	117	135
4.110000e+01	113	113	149
4.120000e+01	117	117	147
4.130000e+01	113	122	141
4.140000e+01	113	113	138
4.150000e+01	117	117	130
4.160000e+01	113	122	141
4.170000e+01	113	113	149
4.180000e+01	124	115	131
4.190000e+01	113	119	133
42	113	113	147
4.210000e+01	121	114	140
4.220000e+01	113	114	140
4.230000e+01	113	113	147
4.240000e+01	122	116	146
4.250000e+01	113	122	135
4.260000e+01	113	113	147
4.270000e+01	120	116	149
4.280000e+01	113	121	128
4.290000e+01	113	113	142
43	119	116	140
